stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
3719A,2024-11-06T1300,97.1714,31.1406,3,—,0.5,3,7,79,50,25,—,昌都会议中心,昌都市
2690A,2024-11-06T1300,88.1236,43.8886,8,16,0.5,6,9,79,64,25,—,天山天池,昌吉回族自治州
2692A,2024-11-06T1300,87.2717,44.0297,36,74,1.1,56,10,36,26,62,颗粒物(PM10),新区政务中心,昌吉回族自治州
3613A,2024-11-06T1300,87.3095,44.0142,53,119,1.2,67,9,28,23,85,颗粒物(PM10),亚心广场,昌吉回族自治州
1119A,2024-11-06T1300,125.3325,43.9166,8,24,0.2,14,7,50,25,24,—,食品厂,长春市
1120A,2024-11-06T1300,125.2863,43.9027,12,23,—,13,8,51,30,—,—,客车厂,长春市
1121A,2024-11-06T1300,125.2841,43.8463,10,18,0.2,14,23,53,27,18,—,邮电学院,长春市
1122A,2024-11-06T1300,125.3716,43.8772,9,28,0.4,9,10,60,33,28,—,劳动公园,长春市
1123A,2024-11-06T1300,125.3297,43.8805,13,32,0.2,9,8,53,30,32,—,园林处,长春市
1124A,2024-11-06T1300,125.4605,43.79,8,8,0.2,4,7,57,30,18,—,净月潭,长春市
1125A,2024-11-06T1300,125.7194,43.515,6,11,0.7,6,6,46,23,15,—,甩湾子,长春市
1126A,2024-11-06T1300,125.3863,43.8447,10,21,0.3,11,9,54,29,21,—,经开区环卫处,长春市
1127A,2024-11-06T1300,125.245,43.7783,3,21,0.4,9,6,54,30,21,—,高新区管委会,长春市
1128A,2024-11-06T1300,125.1761,43.8325,8,12,0.3,4,6,52,26,17,—,岱山公园,长春市
1335A,2024-11-06T1300,113.0833,28.2325,28,55,0.5,16,2,127,66,53,颗粒物(PM10),经开区环保局,长沙市
1336A,2024-11-06T1300,112.8872,28.2189,50,80,0.5,12,6,131,67,69,细颗粒物(PM2.5),高开区环保局,长沙市
1337A,2024-11-06T1300,113.0792,28.2053,43,66,0.6,17,5,128,66,60,细颗粒物(PM2.5),马坡岭,长沙市
1338A,2024-11-06T1300,112.9394,28.19,51,94,0.6,19,5,132,81,72,颗粒物(PM10),湖南师范大学,长沙市
1339A,2024-11-06T1300,113.0178,28.1322,50,78,0.6,18,6,132,70,69,细颗粒物(PM2.5),雨花区环保局,长沙市
1340A,2024-11-06T1300,112.9792,28.2597,52,108,0.7,17,4,124,59,79,颗粒物(PM10),伍家岭,长沙市
1341A,2024-11-06T1300,113.0014,28.1944,48,85,0.7,19,6,123,71,68,颗粒物(PM10),火车新站,长沙市
1342A,2024-11-06T1300,112.9844,28.1178,48,80,0.4,21,6,129,67,67,细颗粒物(PM2.5),天心区环保局,长沙市
1343A,2024-11-06T1300,112.8908,28.1308,51,91,0.8,16,9,149,79,71,颗粒物(PM10),湖南中医药大学,长沙市
1344A,2024-11-06T1300,112.9581,28.3611,43,65,0.5,16,11,127,64,60,细颗粒物(PM2.5),沙坪,长沙市
1727A,2024-11-06T1300,113.1147,36.1547,29,72,0.5,22,14,95,37,61,颗粒物(PM10),清华站,长治市
1728A,2024-11-06T1300,113.1031,36.1989,—,57,0.6,20,15,90,28,—,—,监测站,长治市
1730A,2024-11-06T1300,113.0886,36.2125,34,73,0.6,19,10,86,31,62,颗粒物(PM10),审计局,长治市
1731A,2024-11-06T1300,113.0844,36.1856,35,77,0.6,20,12,96,28,64,颗粒物(PM10),长治八中,长治市
2845A,2024-11-06T1300,113.1569,36.1911,36,59,0.6,28,11,94,72,55,颗粒物(PM10),德盛苑,长治市
3568A,2024-11-06T1300,113.06,36.0464,31,68,0.4,23,13,104,74,59,颗粒物(PM10),向阳小学,长治市
3569A,2024-11-06T1300,112.8792,36.3144,36,57,1.2,20,10,99,40,54,颗粒物(PM10),屯留一中,长治市
3570A,2024-11-06T1300,113.235,36.3489,61,86,0.9,36,17,86,39,83,细颗粒物(PM2.5),潞城四中,长治市
1854A,2024-11-06T1300,111.6975,28.9703,78,119,0.8,21,10,137,52,104,细颗粒物(PM2.5),市二中,常德市
1857A,2024-11-06T1300,111.7158,29.1456,—,—,—,—,—,—,—,—,—,白鹤山,常德市
3138A,2024-11-06T1300,111.7153,29.0289,60,90,0.9,19,10,137,70,82,细颗粒物(PM2.5),武陵区永安,常德市
3139A,2024-11-06T1300,111.6892,28.9881,73,131,1.0,20,11,141,53,98,细颗粒物(PM2.5),鼎城区玉霞,常德市
3140A,2024-11-06T1300,111.6625,29.0531,70,126,0.8,21,10,142,68,94,细颗粒物(PM2.5),武陵区长庚,常德市
1196A,2024-11-06T1300,119.9633,31.762,15,35,0.4,16,9,103,65,35,—,市监测站,常州市
1200A,2024-11-06T1300,119.9468,31.7069,17,33,0.4,10,14,93,63,33,—,武进监测站,常州市
1201A,2024-11-06T1300,119.9255,31.9087,14,36,0.3,13,9,103,54,36,—,安家,常州市
3002A,2024-11-06T1300,119.9805,31.8174,15,29,0.5,11,1,99,61,31,—,行政中心,常州市
3003A,2024-11-06T1300,120.0522,31.7748,12,41,0.3,21,8,106,53,41,—,经开区,常州市
3010A,2024-11-06T1300,119.9025,31.7964,19,32,0.5,14,8,96,63,32,—,钟楼,常州市
3429A,2024-11-06T1300,119.8598,31.7066,15,34,0.3,10,8,99,56,34,—,武进经发区,常州市
3430A,2024-11-06T1300,119.5826,31.7245,20,32,0.3,12,7,107,65,34,—,金坛城区,常州市
2220A,2024-11-06T1300,120.4318,41.5881,18,19,0.7,13,22,54,25,26,—,西梁,朝阳市
2221A,2024-11-06T1300,120.4521,41.5646,19,43,0.6,12,22,57,25,43,—,河畔小区,朝阳市
2222A,2024-11-06T1300,120.4176,41.5648,18,26,0.7,12,21,58,25,26,—,八里堡,朝阳市
2223A,2024-11-06T1300,120.3806,41.5969,19,—,1.3,14,19,55,—,—,—,农业园区,朝阳市
1705A,2024-11-06T1300,116.6367,23.6719,29,61,0.3,6,5,—,79,—,—,西园路,潮州市
3026A,2024-11-06T1300,116.6183,23.6608,21,30,0.7,7,6,99,77,31,—,市政府,潮州市
4036A,2024-11-06T1300,116.6461,23.6761,27,42,0.7,7,8,97,79,42,—,金山,潮州市
2472A,2024-11-06T1300,113.0073,25.9061,29,69,1.0,13,25,119,72,60,颗粒物(PM10),马头岭,郴州市
2473A,2024-11-06T1300,113.0116,25.8226,46,60,0.8,10,20,130,69,64,细颗粒物(PM2.5),市职中,郴州市
2474A,2024-11-06T1300,113.0161,25.8001,50,74,—,13,19,126,89,—,—,兴隆步行街,郴州市
2475A,2024-11-06T1300,113.0383,25.8071,45,61,0.7,10,21,130,86,63,细颗粒物(PM2.5),市审计局,郴州市
2476A,2024-11-06T1300,113.0348,25.7759,39,73,0.7,10,17,123,79,62,颗粒物(PM10),市环保局,郴州市
1431A,2024-11-06T1300,103.9728,30.7236,33,60,0.5,27,4,34,19,55,颗粒物(PM10),金泉两河,成都市
1432A,2024-11-06T1300,104.176,30.6872,24,47,0.5,38,3,41,14,47,—,十里店,成都市
1433A,2024-11-06T1300,104.079,30.5706,28,58,0.4,28,2,48,24,54,颗粒物(PM10),三瓦窑,成都市
1434A,2024-11-06T1300,104.1114,30.63,28,46,0.4,32,4,48,20,46,—,沙河铺,成都市
1437A,2024-11-06T1300,104.0786,30.6531,48,78,0.8,46,7,20,22,67,细颗粒物(PM2.5),君平街,成都市
1438A,2024-11-06T1300,103.613,31.0283,—,—,—,—,—,—,—,—,—,灵岩寺,成都市
2880A,2024-11-06T1300,104.0239,30.65639,38,65,0.7,41,5,20,19,58,颗粒物(PM10),大石西路,成都市
3136A,2024-11-06T1300,104.2725,30.5589,12,27,0.4,14,3,68,46,27,—,龙泉驿区区政府,成都市
3357A,2024-11-06T1300,104.0106,30.6931,39,58,0.5,34,3,20,13,55,细颗粒物(PM2.5),金博路,成都市
3359A,2024-11-06T1300,104.0578,30.5225,29,44,0.6,22,2,42,22,44,—,华阳,成都市
3487A,2024-11-06T1300,104.2394,30.5319,34,51,0.6,30,2,43,25,51,颗粒物(PM10),车城东七路,成都市
3488A,2024-11-06T1300,104.3853,30.7453,13,26,0.5,13,4,66,24,26,—,青白江技师分院,成都市
3489A,2024-11-06T1300,104.0789,30.4072,42,56,0.6,34,4,35,19,59,细颗粒物(PM2.5),科学城,成都市
4011A,2024-11-06T1300,103.8506,30.6947,34,52,0.5,21,6,52,40,51,颗粒物(PM10),光华大道三段,成都市
1062A,2024-11-06T1300,117.9531,40.9081,3,7,0.2,16,26,49,18,16,—,铁路,承德市
1063A,2024-11-06T1300,117.9392,40.9763,3,34,0.5,23,8,35,17,34,—,中国银行,承德市
1064A,2024-11-06T1300,117.9503,40.928,7,38,0.3,17,10,56,20,38,—,开发区,承德市
1065A,2024-11-06T1300,117.8051,40.9655,3,20,1.5,21,48,45,13,20,—,文化中心,承德市
1066A,2024-11-06T1300,117.9268,41.0026,9,24,0.5,21,9,35,17,24,—,离宫,承德市
2314A,2024-11-06T1300,117.47,30.6618,23,54,0.5,14,8,117,60,52,颗粒物(PM10),池州学院,池州市
3237A,2024-11-06T1300,117.4918,30.6617,28,49,0.4,14,8,117,58,49,—,展览馆,池州市
3333A,2024-11-06T1300,117.5627,30.695,26,48,0.4,14,7,114,55,48,—,第八中学,池州市
3334A,2024-11-06T1300,117.5038,30.6243,22,50,0.3,13,5,119,64,50,—,第十二中学,池州市
1744A,2024-11-06T1300,118.9233,42.2816,18,41,0.5,19,12,60,20,41,—,松山一中,赤峰市
1745A,2024-11-06T1300,118.9576,42.2728,18,34,0.4,16,7,65,25,34,—,哈达街,赤峰市
1746A,2024-11-06T1300,118.8788,42.2554,20,20,0.3,15,7,67,24,29,—,天义路,赤峰市
3058A,2024-11-06T1300,119.2658,42.0353,55,79,1.2,20,34,54,25,75,细颗粒物(PM2.5),银河街,赤峰市
3286A,2024-11-06T1300,118.9359,42.3147,23,28,0.8,25,10,64,23,33,—,桥北物流园区,赤峰市
2521A,2024-11-06T1300,107.3476,22.4136,37,56,0.7,6,6,133,68,53,"颗粒物(PM10),细颗粒物(PM2.5)",市环保局江州分局,崇左市
2522A,2024-11-06T1300,107.3702,22.3707,40,47,0.6,6,7,140,67,57,细颗粒物(PM2.5),城南新区,崇左市
2298A,2024-11-06T1300,118.3093,32.3153,15,34,0.2,13,3,99,—,34,—,老年大学,滁州市
2299A,2024-11-06T1300,118.3244,32.2786,18,29,0.3,14,8,98,51,31,—,人大宾馆,滁州市
